"","Name","Region","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1","NYSE","Americas",12.7075783,13.3105916,15.4211679,15.6508325,9.2089341,11.8377933,13.3940818,11.79557545,14.08594412,17.9498838,19.35141724,17.78678743,19.57307369,22.08136701,20.67947691,21.08367936,22.50948946,23.99146417,24.06038592,25.56465047
"2","Euronext Amsterdam","Europe - Africa - Middle East",0.53866369,0.59283561,0.77969014,0.95632895,0.38882402,0.55930416,0.66121009,0.59475269,0.65081119,0.81784028,0.78657352,0.72848558,0.8117,0.9183,1,1.2,1.4,1.6,1.8,1.66
"3","Hong Kong Exchanges and Clearing","Asia - Pacific",0.86146292,1.05499932,1.71495325,2.65441606,1.32876847,2.30514281,2.71131616,2.2580352,2.83194586,3.10077715,3.23303059,3.18487422,3.19323554,4.35051461,3.8192154,4.89923458,6.13042043,5.43417712,4.56680906,3.97478349
"4","Johannesburg Stock Exchange","Europe - Africa - Middle East",0.4425197,0.54931031,0.71123232,0.82818532,0.48269998,0.79902375,0.92500715,0.78903713,0.9077232,0.94281211,0.9339307,0.73594517,0.95890737,1.23097719,0.86532765,1.05634144,1.05152863,1.14300342,1.17174813,1.02582708
"5","Korea Exchange","Asia - Pacific",0.39855887,0.71801071,0.83440428,1.12260633,0.47079768,0.83459686,1.09191146,0.99613992,1.17941947,1.23454855,1.21275946,1.23119976,1.28216585,1.77176793,1.41371651,1.48484032,2.1761895,2.21865814,1.64450758,1.9679983
"6","LSE Group London Stock Exchange","Europe - Africa - Middle East",2.81592803,3.05818242,3.7813585,3.84646188,1.86815297,2.79644432,2.68688088,2.93224087,3.29164012,3.94688473,3.5708935,4.4,4.1,4.5,4.3,4.2,3.7,3.79945924,3.09598343,3.04
"7","Nasdaq - US","Americas",3.53291203,3.60398487,3.8650036,4.01365032,2.24897647,3.23949244,3.88936988,3.84513159,4.58238909,6.08496972,6.97917195,7.28075217,7.77912703,10.03933564,9.75683614,13.00204801,19.06037231,24.55707395,16.2375944,23.41474723
"8","National Stock Exchange of India","Asia - Pacific",0.36327602,0.51597248,0.7741156,1.66009689,0.60028163,1.22480644,1.59662526,0.98526943,1.23449196,1.11295232,1.5209251,1.48508862,1.53426823,2.35146242,2.05633732,2.16270291,2.55246379,3.54801847,3.38736667,4.34013078
"9","Saudi Exchange (Tadawul)","Europe - Africa - Middle East",0.306,0.65,0.327,0.519,0.264,0.31873368,0.35340959,0.33887329,0.37337475,0.46736578,0.48311551,0.42106007,0.44893889,0.45137884,0.49635318,2.4068196,2.42910237,2.67133101,2.63859115,3.01536455
"10","Shanghai Stock Exchange","Asia - Pacific",0.31431571,0.28619031,0.91750753,3.69434797,1.42535402,2.70477846,2.71647022,2.35742332,2.54720379,2.49698993,3.93252768,4.54928803,4.10399042,5.08963128,3.91942026,5.10584094,6.97597045,8.15468912,6.72447089,6.52475676
"11","Shenzhen Stock Exchange","Asia - Pacific",0.13340455,0.11566194,0.22794734,0.78451856,0.35343002,0.868374,1.31137008,1.05468497,1.15017225,1.45215356,2.07241999,3.63873129,3.21674796,3.62163594,2.4054595,3.40966344,5.23849515,6.21983122,4.70087209,4.36747646
"12","Deutsche Boerse AG","Europe - Africa - Middle East",1.19451679,1.20213628,1.63760977,2.10519782,1.11057963,1.29235531,1.42971905,1.18450016,1.48631481,1.93610626,1.73853906,1.71580049,1.7180324,2.26222257,1.75517279,2.09817393,2.28410884,2.50304583,1.88966394,2.17805252
"13","Tehran Stock Exchange","Europe - Africa - Middle East",0.04260042,0.03644022,0.03631458,0.04388501,0.04871271,0.05918354,0.08664152,0.10708965,0.09099575,0.34577663,0.11385813,0.08724591,0.10100832,0.1063288,0.1435482,0.32067117,1.21839223,1.26073289,1.34757502,1.71253293
"14","SIX Swiss Exchange","Europe - Africa - Middle East",0.82909807,0.93869766,1.2125343,1.2746567,0.88033443,1.06468654,1.22935654,1.08951937,1.23343894,1.54069984,1.4953142,1.51932346,1.41474581,1.68649707,1.44116048,1.83445326,2.00160287,2.32770701,1.83052461,2.04469328
"15","ASX Australian Securities Exchange","Asia - Pacific",0.77640276,0.80401482,1.09585796,1.29831504,0.68387156,1.26190934,1.45449057,1.19818741,1.38687396,1.36595813,1.28870834,1.18708345,1.31679628,1.5084628,1.26280027,1.4875985,1.72055618,1.88740079,1.67917193,1.78872596
"16","Taiwan Stock Exchange","Asia - Pacific",0.44143578,0.47601796,0.59465935,0.66371604,0.35671056,0.65899137,0.81849046,0.6355058,0.73529257,0.8227074,0.85094307,0.74499966,0.86186115,1.07307944,0.95921971,1.21727358,1.59857005,2.02913145,1.44769051,1.85262025
"17","TMX Group","Americas",1.17751794,1.48218456,1.70070809,2.18655015,1.03344853,1.67681419,2.17043273,1.91212191,2.05883869,2.11382177,2.0936968,1.59192859,2.0415338,2.36705992,1.93790271,2.40909854,2.6083769,3.26413736,2.7447197,3.08835634
"18","Nasdaq Nordic and Baltics","Europe - Africa - Middle East",0.6636,0.80256136,1.12270506,1.24257794,0.56309958,0.81722278,1.04215374,0.84210087,0.99571917,1.2692139,1.19672542,1.26804233,1.24962758,1.53349728,1.32281745,1.61257696,2.11044009,2.55737566,1.85673017,2.1196123
"19","Tokyo Stock Exchange","Asia - Pacific",4.57,4.57,4.82,4.49,3.12,3.48,4.11,3.32,3.31,4.5,4.37799437,4.89491912,5.06153719,6.22282521,5.2968111,6.19107329,6.71821955,6.54430349,5.38047546,6.14920018
